branch,maven_release,class,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM
v2.0,2.0.1,org.tinylog.pattern.PlainTextToken,5,1,0,2,13,2,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.PlainTextToken,5,1,0,2,13,2,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.PlainTextToken,5,1,0,2,13,2,1,3
v2.0,2.0.1,org.tinylog.pattern.ProcessIdToken,4,1,0,3,10,2,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.ProcessIdToken,4,1,0,3,10,2,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.ProcessIdToken,4,1,0,3,10,2,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.SeverityLevelIntegerToken,6,1,0,4,12,13,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.SeverityLevelIntegerToken,6,1,0,4,12,13,1,3
v2.0,2.0.1,org.tinylog.pattern.SeverityLevelToken,4,1,0,4,10,6,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.SeverityLevelToken,4,1,0,4,10,6,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.SeverityLevelToken,4,1,0,4,10,6,1,3
v2.0,2.0.1,org.tinylog.pattern.SimpleClassNameToken,5,1,0,3,12,10,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.SimpleClassNameToken,5,1,0,3,12,10,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.SimpleClassNameToken,5,1,0,3,12,10,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.SizeToken,4,1,0,2,13,0,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.SizeToken,4,1,0,2,13,0,1,3
v2.0,2.0.1,org.tinylog.pattern.ThreadContextToken,5,1,0,3,11,0,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.ThreadContextToken,6,1,0,3,23,0,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.ThreadContextToken,6,1,0,3,23,0,1,3
v2.0,2.0.1,org.tinylog.pattern.ThreadIdToken,4,1,0,3,10,6,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.ThreadIdToken,4,1,0,3,12,6,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.ThreadIdToken,4,1,0,3,12,6,1,3
v2.0,2.0.1,org.tinylog.pattern.ThreadNameToken,4,1,0,3,10,6,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.ThreadNameToken,4,1,0,3,10,6,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.ThreadNameToken,4,1,0,3,10,6,1,3
v2.0,2.0.1,org.tinylog.pattern.TimestampToken,6,1,0,4,14,9,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.TimestampToken,6,1,0,4,14,9,1,3
